기기명,주소,위도,경도,평일시간,휴일시간
백운2동 행정복지센터,광주광역시 남구 진다리로6번길 9,35.13610088,126.9023131,09:00-18:00,00:00-00:00
월산5동 행정복지센터,광주광역시 남구 군분로82번길 14,35.14090962,126.8929894,09:00-18:00,00:00-00:00
방림1동 행정복지센터,광주광역시 남구 오방로 101-2,35.13435106,126.9182638,09:00-18:00,00:00-00:00
양림동 행정복지센터,광주광역시 남구 백서로 94,35.14050648,126.9164232,09:00-18:00,00:00-00:00
월산동 행정복지센터,광주광역시 남구 덕림2길 3,35.14760899,126.9026121,09:00-18:00,00:00-00:00
주월2동행정복지센터,광주광역시 남구 군분로13번길 12,35.13468915,126.8942402,09:00-18:00,00:00-00:00
월산4동 행정복지센터,광주광역시 남구 대남대로 390번길 11,35.1466911,126.8908378,09:00-18:00,00:00-00:00
방림2동행정복지센터,광주광역시 남구 천변좌로 566번다길 12,35.13192823,126.9219988,09:00-18:00,00:00-00:00
백운1동 행정복지센터,광주광역시 남구 독립로54번길 20,35.13831256,126.9039007,09:00-18:00,00:00-00:00
봉선1동행정복지센터,광주광역시 남구 봉선로51번길 21,35.12934674,126.9067165,09:00-18:00,00:00-00:00
주월1동 행정복지센터,광주광역시 남구 회서로21번가길 13,35.13193225,126.8933304,09:00-18:00,00:00-00:00
송암동행정복지센터,광주광역시 남구 송암로 66,35.11153785,126.8771117,09:00-18:00,00:00-00:00
종합민원실 외부 24시,"광주광역시 남구 봉선로 1, 남구청 (주월동)",35.13290647,126.9024479,05:00-03:00,05:00-03:00
종합민원실,"광주광역시 남구 봉선로 1, 남구청 (주월동)",35.13290647,126.9024479,09:00-18:00,00:00-00:00
광주기독교병원,광주광역시 남구 양림로 37(양림동),35.13623251,126.9115031,05:00-03:00,05:00-03:00
노대동출장소,광주광역시 남구 덕남길 7(노대동),35.09941963,126.8959145,09:00-18:00,00:00-00:00
남구청 본관(1층) 1,광주광역시 남구 봉선로 1(주월동),35.13290647,126.9024479,08:00~23:00,08:00~23:00
효천1지구 입하신협,광주광역시 남구 효천2로 26(임암동),35.10180547,126.8733781,07:00~24:00,07:00~24:00
봉선2동행정복지센터,"광주광역시 남구 봉선중앙로26번길 10, 봉선2동 행정복지센터 (봉선동)",35.1234434,126.9137328,09:00-18:00,00:00-00:00
광주웨슬리신협 효덕점,광주광역시 남구 서문대로 659,35.11826295,126.8984484,06:00~24:00,06:00~24:00
진월동행정복지센터,광주광역시 남구 화산로 15(진월동),35.11227283,126.8984361,09:00-18:00,00:00-00:00
부지런한 마트 행암점,광주광역시 남구 효우2로 26번길3,35.1021312,126.8887935,08:30~22:30,08:30~22:30
이마트 봉선점,광주광역시 남구 봉선로 198(봉선동),35.12237704,126.9161067,10:00-23:00,10:00-23:00
