"관리번호","무인민원발급기명","설치장소주소","설치장소상세위치","평일시작시분","평일종료시분","휴일시작시분","휴일종료시분","운영시간참고내용","설치운영URL","사용여부명","장애인편의발급기형태","시각장애인용키패드","시각장애인용음성안내","청각장애인용화면안내","점자라벨부착","이어폰소켓","촉각(전자)모니터","화면확대기능","휠체어탄사용자조작","최종수정일자"
"108","쌍문4동 주민센터","서울특별시 도봉구 시루봉로 62-7(쌍문동)[서울특별시 도봉구 쌍문동 59번지 7호]","민원실 내부","08:40 ","18:00 ","      ","      ","주말(공휴일) 미운영","http://www.dobong.go.kr/Contents.asp?code=10003644","사용","장애인 정당한 편의 기능 인증(우선구매대상지능정보화제품)","제공","제공","제공","부착","제공","제공","제공","가능","2026-01-27 14:33:01"
"503","한남동주민센터","서울특별시 용산구 대사관로5길 1(한남동)[서울특별시 용산구 한남동 685번지 43호]","한남동주민센터 1층 민원실","09:00 ","18:00 ","      ","      ","주말(공휴일) 정기휴무","http://www.yongsan.go.kr/pms/contents/contents.do?contseqn=1594&sitecdv=S0000600&decorator=user28OneClick&menucdv=01140000","사용","장애인 정당한 편의 기능 인증(우선구매대상지능정보화제품)","제공","제공","제공","부착","제공","미제공","제공","가능","2026-01-27 13:11:42"
"510","사근동주민센터","서울특별시 성동구 사근동길 37(사근동)","사근동주민센터","00:00 ","2400  ","00:00 ","2400  ","","http://www.sd.go.kr/sd/main.do?mCode=13A030030000&op=mainSub&lay=5","사용","장애인 정당한 편의 기능 인증(우선구매대상지능정보화제품)","제공","제공","제공","부착","제공","제공","제공","가능","2026-01-27 12:50:01"
"409","사당5동주민센터","서울특별시 동작구 사당로2가길 219, 사당5동 주민센터 (사당동)","2층 민원실","08:00 ","19:00 ","      ","      ","주말, 공휴일 미운영","https://www.dongjak.go.kr/portal/main/contents.do?menuNo=200016","사용","장애인 정당한 편의 기능 인증(우선구매대상지능정보화제품)","제공","제공","제공","부착","제공","미제공","제공","가능","2026-01-27 11:34:03"
"406","상도3동주민센터","서울특별시 동작구 성대로2길 11(상도동)[서울특별시 동작구 상도동 315번지 37호]","1층 로비","08:00 ","20:00 ","09:00 ","18:00 ","토 09:00~18:00, 일요일?공휴일 미운영","http://www.dongjak.go.kr/portal/main/contents.do?menuNo=200016","사용","장애인 정당한 편의 기능 인증(우선구매대상지능정보화제품)","제공","제공","제공","부착","제공","미제공","제공","가능","2026-01-27 11:33:55"
"505","가양3동주민센터","서울특별시 강서구 허준로 202(가양동, 가양3동주민센터)[서울특별시 강서구 가양동 1488번지 1호]","가양3동주민센터 내(1층)","09:00 ","18:00 ","09:00 ","13:00 ","일요일 및 공휴일 이용 불가","https://www.gangseo.seoul.kr/gs0101071","사용","장애인 정당한 편의 기능 인증(우선구매대상지능정보화제품)","제공","제공","제공","부착","제공","미제공","제공","가능","2026-09-02 16:29:06"
"525","이대서울병원","서울특별시 강서구 공항대로 260, 이화의대부속서울병원 (마곡동)","1층 중앙로비","00:00 ","2400  ","00:00 ","2400  ","","https://www.gangseo.seoul.kr/gs0101071","사용","장애인 정당한 편의 기능 인증(우선구매대상지능정보화제품)","제공","제공","제공","부착","제공","미제공","제공","가능","2026-08-26 09:33:39"
"523","마곡나루역","서울특별시 강서구 마곡중앙5로 지하 2, 마곡나루역(9호선) (마곡동)","2번 출구","05:00 ","02:00 ","05:00 ","02:00 ","","https://www.gangseo.seoul.kr/gs0101071","사용","장애인 정당한 편의 기능 인증(우선구매대상지능정보화제품)","제공","제공","제공","부착","제공","미제공","제공","가능","2026-08-26 09:33:34"
"519","구일역","서울특별시 구로구 구일로 133, 구일역 (구로동)","1번출구","05:00 ","01:00 ","05:00 ","01:00 ","지하철역별 운영시간 내 발급기 이용 가능","http://www.guro.go.kr/www/sr/guide/manless.jsp","사용","장애인 정당한 편의 기능 인증(우선구매대상지능정보화제품)","제공","제공","제공","부착","제공","미제공","제공","가능","2026-08-24 10:04:48"
"506","이촌1동주민센터","서울특별시 용산구 이촌로71길 24(이촌동)[서울특별시 용산구 이촌동 301번지 179호]","이촌1동 주민센터 출입구","09:00 ","18:00 ","      ","      ","","http://www.yongsan.go.kr/pms/contents/contents.do?contseqn=1594&sitecdv=S0000600&decorator=user28OneClick&menucdv=01140000","사용","장애인 정당한 편의 기능 인증(우선구매대상지능정보화제품)","제공","제공","제공","부착","제공","미제공","제공","가능","2026-01-27 13:12:35"
